Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.55.8514,0.040656387256473595,0,0.0004,0.01231498833159842,0,0.14856740499141785,0,0.14165590525535782,0.013807919700920292,0,0.048129559299721486,0,0.08551477739734449,0.07297468209857141,0.05458125596649089,0.3185529239722577,0,0.03304310025873091,0.027008953230385286,0,0,0.002759094767329695,0.15,0.09719026010966655,1.049986597737114
TCGA.55.8616,0.16264501115314395,0.12902392349353212,0,0.0509337867318356,0,0.14745524516027184,0,0.041295719243005444,0.0943514114899609,0,0.05019042210676307,0,0.027997344872828882,0.03852634107049321,0.03995319100110014,0.1923938539065398,0,0,0.02523374977052496,0,0,0,0.133,0.1019022287720134,1.0475927384491273
TCGA.55.A490,0,0.0008,0.1033595551394151,0.07487290520713259,0,0.15071630402146788,0,0.03691598182363458,0.0825954207087354,0,0.0036490904790385994,0.020054392830291128,0.04018020630862994,0.2706862117028578,0.010846095551486652,0.16072073521030972,0.04386751761309508,0,0,0,0,0.0008,0.01,0.2321898418069146,0.9979978512701516
TCGA.55.A494,0.025847308604270293,0,0.058565781359660514,0.12658489536472975,0,0.024765631944192738,0,0.21771544753802505,0.03444121454428027,0,0,0.09647020587530487,0.03580972470699601,0.111192864107761,0,0.12521922537683156,0,0.08429920453672614,0.0590884960412218,0,0,0,0.936,-0.0267,1.0981327131461998
TCGA.62.8398,0.04073586468539761,0,0.008965237100198534,0.037876429545300995,0,0.2077743642222669,0.020879205771767245,0.050940078482883566,0.038716583129762984,0,0.046654958756160124,0,0.014478621026455817,0.1639593398314799,0.0900326631674848,0.2276382228937894,0.006473865117396546,0,0.038022760166060675,0,0,0.006851806103595025,0.034,0.16270674695446236,1.0252800023977071
TCGA.62.A46R,0.025095710487990905,0,0.02837605688983287,0,0,0.18707317980581828,0,0.10032092095432156,0.035943837279951256,0,0.004234576790896395,0.03473030605720909,0.04396481805477854,0.025113125424954773,0,0.23052439367435773,0,0.13710699126427373,0.14751608331561497,0,0,0,0.209,0.0774059681610508,1.0473550010331365
TCGA.64.1677,0.030217956752030213,0.07045527246000496,0.10151092838860779,0.06723112835027473,0,0.21806060595442478,0.02208152616759396,0.10433323589167127,0.005613893357525049,0,0.029658056917796966,0,0,0.08595929791739132,0.1277805359131269,0.10668256148520693,0,0.012775077991651927,0.01763992245269319,0,0,0,0.01,0.2336300058997141,0.9913055431465954
TCGA.64.5774,0.03797885331387318,0,0.13290674900785715,0,0,0.21171758107570682,0,0.11509351947461091,0.07287765502373206,0,0,0.04456361839449845,0,0.2311354956210575,0.013566618300077094,0.11618108721834224,0,0.010174918831203238,0.00239581349057291,0,0,0.011408090248468464,0.348,0.04730346402985526,1.070011627225808
TCGA.64.5775,0.0003,0,0.006555600141171359,0.054296573311157885,0,0.19012357869224417,0,0.04930186789344235,0.04014270562645594,0,0,0.05033255426139521,0,0.17744249624231148,0.012570564768214732,0.4070225077244973,0,0.0008,0.0014127889820772614,0,0,0.00965115942178632,0.117,0.11021113760028889,1.0711772742311378
TCGA.64.5778,0.027630638842425687,0.05848262117264292,0.06455891756108019,0.2195406997091597,0,0.1753514436404204,0.015064551610827447,0.059299069929795827,0.018040061168587602,0,0.002301233501351122,0,0.0008,0.07340078942182689,0.12583911292551295,0.1450444588738458,0,0.0063630804232335065,0.008299720895199014,0,0,0,0.006,0.32255132939157727,0.9561122672515124
TCGA.64.5815,0,0.02362789391764529,0.007936469576132154,0,0,0.11453716355146992,0,0.016863016888913687,0.04282794765322882,0,0.023998173734456264,0,0,0.44799693329011864,0,0.19109971823504263,0,0.09801250511306758,0.0317984294892003,0,0,0.0012887348636549379,0,0.5794304945591199,0.8149956323075247
TCGA.67.3773,0.05083398835400141,0,0.01784417001489859,0.04305960220084287,0,0.2296514820772942,0.0010940207855373038,0.05278227676361567,0.014192468151460039,0,0.02771647683123274,0,0.004921075595417135,0.0350903272776191,0.06477588883272663,0.2401550456151673,0.11282730000412201,0,0.10363396264763365,0,0,0.0014219148484313575,0.018,0.1910802726143282,1.0032946794670101
TCGA.67.4679,0.0014395710066033875,0.004357029090666073,0,0.021330997143713722,0,0.18934538526608843,0,0.025694714657615178,0.01704319794254583,0,0.009203055413606094,0.013913596522329257,0.1467382578362062,0.015064776871623671,0.012552128284381386,0.22204617386777797,0.07054642934404527,0.03179556936876664,0.21462091457918872,0,0,0.004308202804842291,0.043,0.15804862682608325,1.0200093336664293
TCGA.69.7973,0.06653233934978024,0.0011844164838980117,0.01794386646810758,0.07470120186656956,0,0.1400459686311897,0.045143282422134,0.04445073961683091,0.03755913460650003,0,0,0.025548355135595394,0.02448142021286766,0.028743996638039566,0.008120482853364579,0.34350721670186046,0,0.04852007919025971,0.08708524730280742,0,0,0.006432252520195178,0.221,0.07368502722590484,1.05132208408728
TCGA.69.7974,0.005989794474931959,0.013000340418832558,0,0.021114158797603453,0,0.14574527607521465,0,0.0656703059736868,0.0031347139233031665,0,0.053838155875456144,0.00255418406849395,0.013088016028111847,0.056323677561039225,0.06094896790747492,0.4602954845582666,0.032888987968240004,0.029172472578878516,0.036235463790466306,0,0,0,0.006,0.3069256499583226,0.9661153959580725
TCGA.69.7978,0,0.038374087393204574,0.06483149007833093,0.12120415144178115,0,0.14264821274998424,0.02899965512650014,0.03241574199826894,0.03944865537756564,0,0.062404362000089725,0,0.008986962629781204,0.03489783321585327,0.08782883888220107,0.2719879068843833,0.04300203550297985,0,0.017041654803143146,0,0,0.005928411915932908,0.006,0.30556257799716807,0.9580680042823777
TCGA.69.7980,0.004936936221919156,0.0036140149954408604,0,0.04127168640204783,0,0.19456864984109312,0,0.10159606022718848,0.03237239451183127,0,0.008062682576873996,0.023991767670772546,0.017555849624649154,0.07059294784646931,0.08978678696038353,0.3079399001858406,0,0.00712912156452342,0.09337842617918451,0,0.0032027751917821728,0,0.012,0.22203667563331872,0.9984844308213506
TCGA.69.8253,0.08757619827121392,0.01292522131791848,0.2458918942459421,0.02086984523596226,0,0.12766249421439285,0,0.07946382505714451,0,0,0.010361001974764267,0.017467091117831048,0,0.050631505156200095,0.009334739443581647,0.15934987527761382,0.045512889409574514,0.08363347208955872,0.03274037819850225,0,0,0.0165795689897995,0.034,0.16417090007992682,1.001314819222758
TCGA.69.8254,0.013743791108904127,0.07555466202449548,0.09321327230304376,0.06214038676752383,0,0.1956446876628307,0.0012739678815444342,0.08675382631316933,0,0,0.027722728891104356,0,0.0131742189340849,0.024451965643498285,0.06189738894958106,0.26694126992754,0.01046257474296723,0.05050151195015363,0.012428872386844822,0.0025858933073409163,0,0.0015089812053731102,0.117,0.10854460411994012,1.035418135816982
TCGA.73.4662,0.01773546836242167,0.1022684621110068,0.05958567421746174,0.04982084208737439,0,0.1748815836209417,0,0.0875780082122716,0.01737334524883617,0,0.007920950120656705,0,0.0765125142169042,0.07178065227566001,0.02162255386745561,0.1998824284739614,0.030859711674335363,0.05083945021201978,0.031338355298692944,0,0,0,0.014,0.21409343218276647,0.9911872689943131
TCGA.75.5126,0.014857604127841156,0,0.0038566170606486954,0.057158621891779726,0,0.07831637122583246,0.03327050103629718,0.015751332783932925,0.014776415009629276,0,0.04314264579590935,0,0.025495407350772988,0.1518368934547345,0.09918688813263521,0.34813625008272286,0,0.016748801069057625,0.04510913966038844,0,0,0.05235651131781755,0,0.38929486397229357,0.9254098658546442
TCGA.75.6206,0.002353834046357772,0,0.018326433779329392,0,0,0.10463688785432348,0,0.07968155358592954,0.032217654560953726,0,0.008673774724442663,0.01916017724758462,0,0.3508282750788657,0.0064946318264459315,0.3046125590358998,0,0.030558718705048737,0.04245549955481857,0,0,0,0.008,0.24554254767607503,1.0165394487627264
TCGA.75.7027,0.04038228941889058,0,0.07861722010708784,0,0,0.14825958362305913,0,0.10280561988974149,0.02208787384718672,0,0.044629303402769833,0.006179045110183082,0,0.21774464686442463,0.014334886250836308,0.19220953705210667,0,0.04347008924462758,0.08761787105939443,0,0,0.001662034129691703,0.094,0.12250355679331333,1.0351965806756893
TCGA.75.7030,0.052582440842675465,0.06314038351248055,0.1036165375855037,0.06325391765083083,0,0.25572031167376386,0.011898810738626149,0.02588412268433912,0.01977142189025376,0,0.02042923820071738,0,0.004533152575239922,0.11157704287918159,0.03299340865987456,0.12699137614841743,0.03873054057551462,0.0294046315392234,0.03947266284335768,0,0,0,0.012,0.22117419607563502,0.9889258160745117
TCGA.78.7145,0.0006,0,0.01232868028779134,0,0,0.24360245725309362,0,0.031430045298141064,0.07195904934706845,0,0,0.002618371090526121,0.05333784018995578,0.20257558511659987,0,0.11944756566283551,0.02210687574818302,0.09955439975343656,0.1333474963190897,0,0,0.007072573881283071,0.135,0.10156651573425422,1.047366900147954
TCGA.78.7167,0.08488254965854213,0,0.08518908951043933,0.08308910105104979,0,0.17425491096575604,0,0.08059971758918981,0.02994075816605172,0,0.009282649019567307,0.0270010665236434,0.05339977117260225,0.09397039947166706,0.04125086804258733,0.15709806017995023,0,0.006723372095781165,0.07331768655317245,0,0,0,0.475,0.027329645681508127,1.0618622438098293
TCGA.78.7539,0.017993763578459485,0,0.018174819065776206,0.12800597346015904,0,0.2035043279243043,0.021974043480149582,0.06713571021297035,0.032218075758536434,0,0.008671252086492501,0.0002,0.023672921713208023,0.11072823321555914,0.1107867044448556,0.14056651691628244,0.06398602676284322,0,0.05243153662093031,0,0,0,0.018,0.18588744619486397,1.0132262061188506
TCGA.78.7540,0.0018325470478142759,0.03970271812414155,0,0,0,0.17344484029966975,0,0.09750056643865673,0.0727239069615341,0,0.036026089416136955,0.04879705682548572,0.02834010559707489,0.12477644984535428,0.010195401613530634,0.2261446055558214,0,0.022266206192369162,0.1182495060824106,0,0,0,0.287,0.058368598235946964,1.0618481745978865
TCGA.78.8655,0.028186736961484868,0.0006,0,0.06925202807388325,0,0.04899481350602044,0,0.043823907096956514,0.08287289041674559,0,0.03741971913380304,0,0,0.2953673401402013,0.0505313020208719,0.28521048410600813,0,0,0.0576975432527365,0,0,0,0.006,0.31872771198968924,0.9660460623867864
TCGA.83.5908,0.037029171453144445,0,0,0.1379513816212293,0,0.17069029356531698,0.022779283237381317,0.11898362230137934,0.005368507353240112,0,0.06580601157166488,0.03177286249293559,0.008054260680451373,0.026396011984407844,0.17330268217855505,0.1400835476087832,0.014505006505386572,0,0.04727735744612412,0,0,0,0,0.39304530838276525,0.9257038302786454
TCGA.86.7953,0.01920535466869439,0.003700079599290231,0.013704628862330669,0.0342565687044629,0,0.22098788803675645,0,0.07134716929371925,0.034142922471020354,0,0.06355117960671965,0,0.14481002761851725,0.127515050573704,0,0.17074515019916625,0,0.05282305171434388,0,0.03287120275339644,0,0.010339725897878339,0.028,0.16867311609881702,1.0187055605838453
TCGA.86.8056,0.006234892193943095,0,0.018703952247539405,0,0,0.2878304612592993,0,0.09024780921584827,0,0,0.0274965735321029,0.005949765993216383,0.06641014635974987,0.09153330487345261,0,0.152950272782629,0.050788103623129834,0.06270938719442172,0.1355986841794237,0,0,0.0035466465452439187,0.187,0.08331965636472012,1.0459621866222926
TCGA.86.8076,0.005660072739812719,0.0903304156840823,0.028825761468010105,0.1413294639043478,0,0.06134700082533762,0,0.127927195012046,0.03562612238168079,0,0.0181140438932928,0,0,0.26489501154575223,0.0625027170712196,0.12978289656445235,0,0.0232385041243709,0.010420794785594835,0,0,0,0.002,0.34512927523713366,0.9450679837500161
TCGA.86.8674,0.04915280789875119,0,0.1438784555348928,0,0,0.03704921229782851,0,0.21110231884848318,0.01473246358907039,0,0.011845332740222318,0.02794702046290205,0,0.3536436584787999,0.0072024644049656925,0.059876709491858124,0,0.08356955625222585,0,0,0,0,0.038,0.1612653357866368,1.0335424296299973
TCGA.86.A456,0.05445135282208956,0,0.04121923594547423,0.010010414206857797,0,0.1820377425125971,0,0.05846198636049872,0,0,0.015591911414838708,0,0,0.1969045714018343,0.0538302019329816,0.32016481172385974,0,0.030190034438856955,0,0.03713773724011134,0,0,0.1,0.11960980727595937,1.0535181227098127
TCGA.86.A4JF,0.0033194012118753285,0,0.08360950336499612,0,0,0.1503759311307222,0,0.11132386053641206,0.00700811177761572,0,0.0038312842798512215,0.07972663740264582,0,0.12144056429717076,0.08160543666290763,0.24359031630904343,0,0.03134538775861683,0.07673299636706603,0,0,0.006090568901076774,0.016,0.2009910764974694,1.003798938894686
TCGA.91.6828,0,0,0.04711375415848999,0.12157334847399331,0,0.1896054111683655,0,0.06635626391804163,0.0009,0,0,0.016614038218163672,0.060561620116599546,0,0.0846498746574943,0.32804203486051225,0.046953716320031993,0.0013117938775500388,0.036330398360047575,0,0,0,0.009,0.23467948833274377,0.9911891143366891
TCGA.91.6836,0,0.0080517459151251,0.07757368379725017,0.08967170441908377,0,0.12421650485433093,0.04997691781311847,0.09225857934089768,0.020966342961333564,0,0.05934804887067299,0.010582527635336307,0.01828479200170807,0.17895526531639827,0.007083519193022711,0.12457943135021445,0,0.1115825763042059,0.00508577983496248,0,0,0.021782580392339237,0.345,0.047554369685805224,1.066569330611373
TCGA.91.6849,0.015988889369963826,0.07457776002654727,0.1457159891676757,0.06042875113916293,0,0.03640720385024254,0.011283221520992898,0.035638926835020464,0,0,0.02266053510548178,0,0,0.42916927421856965,0,0.11363148865158713,0,0.03979638399371479,0.011482462841682119,0,0,0.0032191132793589114,0.006,0.31648705961355333,0.9703569333381743
TCGA.93.7347,0.02460285580075061,0.007702567970775911,0.0021677524738302253,0.07704090992211389,0,0.13145164937019818,0,0.04225556928401275,0.09173481353177498,0,0.037162903921935324,0,0,0.26877337117812483,0.04566440782694538,0.19917176021470956,0,0.008141531073086074,0.06412990743174224,0,0,0,0,0.41276433222949,0.9120537490603101
TCGA.93.8067,0.047942240249701916,0,0.04220775611008812,0,0,0.16281455471403755,0,0.10142924264664092,0.02782826975254195,0,0.02772345301243787,0.03443669182528477,0,0.13482718029931784,0.06684090740500753,0.29476719336066015,0.015185292665532146,0.01869130334730543,0.024349787778075383,0,0,0.001,0.057,0.14721470845874912,1.0303213163801883
TCGA.93.A4JO,0.0100280398801655,0.057012058526916744,0.019629594738480437,0.10436617716981135,0,0.05989264566978844,0,0.08830042778034904,0.08007530430527257,0,0.05929184918975442,0,0.016150537364531915,0.1677628680515479,0.06073812539050875,0.25720723966770137,0,0,0.019545132265171634,0,0,0,0,0.40498641847954264,0.9143775831990036
